PRODUCT_ID*31,MANUFACTURER,MAIN_CATEGORY
283509384,Apple,Handy
241663414,Tamron,Kameras
103621251,ASUSTeKCOMPUTER,Tablets
336228170,Libratone,Audio & Hifi
330385166,Apple,Laptop
318512042,Apple,Handy
319396968,Apple,Wearables
330383027,Apple,Tablets
349656626,Oppo,Handy
343412358,Samsung,Handy
319793055,Nikon,Kameras
322135043,Panasonic,Kameras
327616184,Sony,Konsolen
309660240,Sony,Kameras
348660627,Apple,Tablets
110023929,Apple,Apple
340152863,Huawei,Handy
378704463,Apple,Handy
237964091,Canon,Kameras
342988340,YI,Kameras
344449959,Canon,Kameras
349277062,Xiaomi,Handy
327207294,HTC,Handy
263438620,Acer,Tablets
323205287,Huawei,Handy
216093436,Sony,Tablets
380775852,Microsoft,Tablets
347034770,Sony,Kameras
347344801,Fossil,Wearables
270239152,Sony,Handy
346872082,Sigma,Kameras
322141894,Panasonic,Kameras
330222292,Sennheiser,Audio & Hifi
319818568,Lenovo,Tablets
340148523,OnePlus,Handy
344891771,Apple,Apple
291342743,Samsung,Kameras
353815803,JBL,Audio & Hifi
143615963,Nikon,Kameras
339071056,Canon,Kameras
292281919,Tolino,Tablets
344211507,Huawei,Handy
338437199,Vifa,Audio & Hifi
332843125,Sony,Audio & Hifi
319048838,Apple,Wearables
323426534,Acer,Tablets
346342013,Apple,Tablets
341257703,Apple,Handy
353814284,Sony,Audio & Hifi
344975905,LGElectronics,Handy
323343795,Apple,Handy
354170009,Apple,Tablets
319938972,Samsung,Handy
319397030,Apple,Wearables
309071395,ASUSTeKCOMPUTER,Tablets
323408089,Huawei,Handy
340283683,JBL,Audio & Hifi
319339866,Fujifilm,Kameras
324022788,Huawei,Handy
284474259,Sony,Konsolen
320575402,Samsung,Handy
354169854,Apple,Tablets
348363027,Microsoft,Tablets
332630775,ZTE,Handy
322144529,Panasonic,Kameras
354207581,Xiaomi,Handy
323347484,Apple,Laptop
338842803,Apple,Tablets
346409903,Apple,Wearables
341321067,Apple,Wearables
291340604,Canon,Kameras
319857194,Samsung,Handy
338439028,Huawei,Tablets
319243735,Sony,Kameras
347697209,Huawei,Handy
319797085,Nikon,Kameras
341502045,Samsung,Handy
330222261,Bose,Audio & Hifi
319911072,Samsung,Tablets
286052066,ASUSTeKCOMPUTER,Tablets
57213848,Nokia,Handy
